name,latitude,longitude,category,nearest,rank,id
남포면옥,37.56728755,126.9817547,한식,국제빌딩,89,134
온천집,37.5735683,126.9905822,한식,종로3가역 8번출구,40,135
나리식당청담점,37.5242666,127.0412592,한식,청담동 맥도날드 옆(위치),124,136
영양센타대치점,37.49770745,127.058207,한식,대치삼성아파트 앞 교차로,133,137
본앤브레드신관,37.56588,127.04575,한식,마장동 주민센터,25,138
모도우광화문점,37.57516535,126.9801155,한식,종로문화원 건너편,75,139
필동면옥,37.5617909,126.9984228,한식,퇴계로4가 교차로(중구청),20,140
창고43무교점,37.5689088,126.9791555,한식,청계광장 옆,111,141
영동장어,37.5206962,127.0360147,한식,MCM 본사 직영점 앞,98,142
송추가마골인어반광화문점,37.57291125,126.9743033,한식,광화문역 1번출구 앞,55,143
동대문엽기떡볶이동대문본점,37.567665,127.0160853,한식,신당역 10번 출구,149,144
잠수교집성수점,37.5436308,127.0589921,한식,우영테크노센터 앞,32,145
할머니의레시피,37.54616175,127.0430975,한식,성동구민종합체육센터 앞,144,146
몽련,37.5473031,127.0449258,한식,뚝섬역 1번 출구 옆,133,147
용수산비원점 [한식],37.5793185,126.987689,한식,포르투갈 대사관 앞,117,148
암소서울,37.5694219,126.9705729,한식,서울역사박물관 앞,93,149
